sexo,estado_civil,grupo_depend,x_nem,leng,mate,cien,beca,edad,jefe_familia,nem,educpadre,educmadre
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,501,630,568,0,19,Madre del postulante,6.5,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,333,372,371,1,18,Padre de postulante,5.8000002,2,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,516,557,499,0,19,Padre de postulante,5.8000002,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,573,552,514,0,19,Padre de postulante,5.9000001,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,573,548,499,0,19,Padre de postulante,5.9000001,4,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),62,579,576,507,0,19,Padre de postulante,6.1999998,14,13
Masculino,Soltero,Particular Pagado (Dependencia 4),66,694,729,717,0,19,Padre de postulante,6.5999999,14,14
Masculino,Soltero,Particular Pagado (Dependencia 4),57,594,659,667,0,19,Madre del postulante,5.6999998,14,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,552,589,514,0,19,Padre de postulante,5.9000001,5,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,641,624,651,0,19,Padre de postulante,5.6999998,5,3
Femenino,Soltero,Particular Pagado (Dependencia 4),63,670,685,688,0,19,Padre de postulante,6.3000002,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),61,552,640,572,0,18,Madre del postulante,6.0999999,7,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,527,477,520,0,19,Padre de postulante,5.8000002,4,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,448,448,414,0,19,Padre de postulante,5.9000001,4,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,548,506,507,1,19,Padre de postulante,5.9000001,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,573,592,619,0,19,Madre del postulante,6,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,494,408,448,1,19,Abuelo(a),6.3000002,13,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,542,573,520,0,19,Padre de postulante,5.1999998,11,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",67,647,630,661,1,19,Padre de postulante,6.6999998,11,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,501,499,461,0,19,Abuelo(a),6,4,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,448,436,431,0,19,Abuelo(a),5.0999999,5,4
Femenino,Soltero,Particular Pagado (Dependencia 4),61,521,620,527,0,19,Madre del postulante,6.0999999,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),54,483,613,507,0,20,Padre de postulante,5.4000001,5,12
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,343,469,448,0,19,Padre de postulante,5.1999998,4,4
Masculino,Soltero,Particular Pagado (Dependencia 4),61,715,746,700,0,18,Madre del postulante,6.0999999,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,641,738,605,1,19,Padre de postulante,6.5,11,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,531,493,507,0,19,Padre de postulante,5.5999999,5,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,427,436,414,0,18,Padre de postulante,5,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,579,644,579,0,18,Madre del postulante,6.5,13,13
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,353,422,431,0,19,Padre de postulante,5.8000002,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,427,477,473,0,19,Madre del postulante,5,5,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,465,485,347,0,19,Padre de postulante,5.6999998,2,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),61,501,569,392,0,20,Padre de postulante,6.0999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,420,372,431,0,19,Padre de postulante,5.8000002,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,616,624,583,0,19,Madre del postulante,5.4000001,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,494,561,431,0,19,Padre de postulante,5.0999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,537,506,538,0,19,Madre del postulante,5.3000002,5,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,647,651,611,0,19,Padre de postulante,6.0999999,5,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,494,573,507,0,19,Padre de postulante,5.5,5,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,494,581,461,0,19,Padre de postulante,5.5,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,440,372,461,0,19,Padre de postulante,5.4000001,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,405,408,347,0,19,Madre del postulante,5.1999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,563,557,593,0,18,Padre de postulante,5.4000001,7,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,483,513,548,0,19,Padre de postulante,6.0999999,5,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,298,576,371,0,19,Madre del postulante,5.5999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,589,557,564,1,19,Padre de postulante,6.5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),48,453,529,483,0,19,Padre de postulante,4.8000002,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),66,647,677,628,1,19,Madre del postulante,6.5999999,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,568,557,507,1,19,Madre del postulante,6.5,5,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,389,391,289,0,19,Padre de postulante,5.5999999,4,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,506,576,564,1,19,Madre del postulante,6.3000002,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,270,223,347,0,21,Padre de postulante,5.1999998,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,548,561,557,1,19,Padre de postulante,6.1999998,5,2
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,594,600,557,0,20,Otra persona,5.3000002,5,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",67,771,708,787,1,19,Madre del postulante,6.6999998,11,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,363,408,289,0,18,Padre de postulante,5.3000002,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",68,600,548,564,1,19,Madre del postulante,6.8000002,5,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,510,524,492,0,19,Padre de postulante,5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,427,513,473,0,19,Padre de postulante,5.6999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,472,592,499,0,19,Padre de postulante,5.3000002,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,477,506,492,0,18,Madre del postulante,5.5999999,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),69,704,746,837,0,19,Madre del postulante,6.9000001,14,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,611,561,572,1,19,Padre de postulante,6.5,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",63,448,327,414,0,19,Padre de postulante,6.3000002,3,3
Masculino,Soltero,Particular Pagado (Dependencia 4),54,510,529,548,0,19,Padre de postulante,5.4000001,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,516,493,461,0,19,Otro familiar del postulante,5.1999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,552,529,514,0,19,Padre de postulante,5.1999998,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,527,592,414,0,18,Padre de postulante,5.5999999,4,4
Masculino,Soltero,Particular Pagado (Dependencia 4),63,662,708,611,0,19,Padre de postulante,6.3000002,14,11
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",48,310,301,431,0,19,Padre de postulante,4.8000002,4,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,465,469,461,0,19,Padre de postulante,5.3000002,4,5
Masculino,Soltero,Particular Pagado (Dependencia 4),57,600,663,593,0,18,,5.6999998,14,12
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,389,459,289,0,20,Madre del postulante,5.4000001,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),66,647,677,655,1,19,Padre de postulante,6.5999999,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,460,584,514,0,19,Padre de postulante,6,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),64,483,422,448,0,19,Padre de postulante,6.4000001,2,12
Masculino,Soltero,Particular Subvencionado (Dependencia 3),48,322,436,473,0,19,Padre de postulante,4.8000002,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,397,422,347,0,19,Padre de postulante,5.1999998,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,448,436,448,1,19,Padre de postulante,6.5,2,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,506,524,552,0,19,Padre de postulante,6,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,494,600,532,0,19,Padre de postulante,5.5999999,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",64,641,681,552,0,19,Padre de postulante,6.4000001,4,3
Masculino,Soltero,Particular Pagado (Dependencia 4),65,655,648,708,0,18,Padre de postulante,6.5,6,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,635,469,431,0,18,Padre de postulante,5.3000002,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),49,494,518,431,0,18,Madre del postulante,4.9000001,13,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",50,235,422,431,0,19,Abuelo(a),5,1,3
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,453,436,392,0,19,Madre del postulante,5.5,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,655,620,678,0,18,Madre del postulante,5.6999998,13,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,472,589,557,1,19,Madre del postulante,6,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,373,372,448,0,19,Otra persona,5.1999998,4,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,548,408,483,0,19,Padre de postulante,5.6999998,2,3
Femenino,Soltero,Particular Pagado (Dependencia 4),54,662,634,614,0,18,Padre de postulante,5.4000001,14,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,527,589,532,0,19,Padre de postulante,5.6999998,2,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,343,372,272,0,18,Otra persona,5.4000001,2,6
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,298,223,392,0,19,Padre de postulante,5.3000002,4,4
Femenino,Soltero,Particular Pagado (Dependencia 4),66,736,696,695,0,19,Madre del postulante,6.5999999,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,420,436,392,0,19,Padre de postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,460,448,499,0,19,Padre de postulante,5.1999998,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),66,647,850,837,0,18,Madre del postulante,6.5999999,1,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,537,518,557,0,19,Padre de postulante,5.5,14,12
Femenino,Soltero,Particular Subvencionado (Dependencia 3),45,263,246,461,0,19,Padre de postulante,4.5,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,363,327,319,0,19,Madre del postulante,5.5999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,310,459,289,0,18,Padre de postulante,6.0999999,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,483,485,507,0,21,Padre de postulante,5.4000001,11,11
Masculino,Soltero,Particular Subvencionado (Dependencia 3),64,548,576,507,0,19,Padre de postulante,6.4000001,5,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,548,499,461,0,19,Padre de postulante,5.5,3,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,506,506,520,0,19,Madre del postulante,5.0999999,11,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,433,581,414,0,19,Padre de postulante,5.6999998,5,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,465,469,414,0,19,Madre del postulante,5.5999999,5,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,510,513,448,0,19,Padre de postulante,6,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,573,606,507,1,19,Abuelo(a),6.3000002,3,2
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,263,351,319,0,19,Padre de postulante,5.5,4,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",60,568,746,637,0,19,Madre del postulante,6,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),68,440,573,561,0,18,Madre del postulante,6.8000002,5,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,420,493,319,0,18,Madre del postulante,5.4000001,4,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,583,696,602,0,19,Madre del postulante,6.5,13,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,483,448,431,0,19,Madre del postulante,5.8000002,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,516,518,499,0,18,Madre del postulante,5.8000002,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,397,351,272,0,19,Padre de postulante,5.1999998,4,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,521,569,548,0,19,Padre de postulante,5.6999998,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,460,535,532,0,19,Madre del postulante,5.3000002,11,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),65,563,620,532,1,19,Madre del postulante,6.5,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,322,459,319,0,18,Padre de postulante,5.9000001,3,3
Masculino,Soltero,Particular Pagado (Dependencia 4),63,662,685,655,0,18,Padre de postulante,6.3000002,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,552,584,538,0,20,Padre de postulante,5.1999998,14,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",62,552,640,538,0,19,Madre del postulante,6.1999998,11,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,641,672,658,0,19,Padre de postulante,6.5,3,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),60,594,620,617,1,19,Madre del postulante,6,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,440,214,371,0,18,Padre de postulante,5.4000001,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,531,576,514,0,19,Madre del postulante,5.6999998,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),62,583,529,507,0,19,Padre de postulante,6.1999998,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,420,436,289,0,19,Padre de postulante,5.4000001,3,4
